phi_ext,sigma_state_1,sigma_state_2,sigma_state_3,sigma_state_4
0.0,4.547473508864641e-13,4.661160346586257e-12,6.480149750132114e-12,7.901235221652314e-12
0.125,1.9895196601282805e-13,6.338041202980094e-12,6.480149750132114e-12,7.73070496506989e-12
0.25,7.275957614183426e-12,8.071765478234738e-12,5.968558980384842e-13,6.87805368215777e-12
0.375,1.9326762412674725e-12,2.3305801732931286e-12,5.7696070143720135e-12,7.673861546209082e-12
0.5,1.8474111129762605e-12,2.4158453015843406e-12,7.617018127348274e-12,8.924416761146858e-12
0.625,2.8705926524708048e-12,4.405364961712621e-12,1.9326762412674725e-12,4.831690603168681e-12
0.75,3.893774191965349e-12,3.495870259939693e-12,4.149569576838985e-12,4.604316927725449e-12
0.875,4.263256414560601e-12,9.549694368615746e-12,4.547473508864641e-12,4.348521542851813e-12
1.0,1.9042545318370685e-12,5.8548721426632255e-12,5.8264504332328215e-12,4.774847184307873e-12
